Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"448,447","464,222","528,370","281,361","159,325","1,881,725"
72,Aquitaine,"755,472","757,009","920,716","577,310","360,429","3,370,936"
83,Auvergne,"297,490","290,009","374,031","246,010","156,485","1,364,025"
25,Basse-Normandie,"349,147","315,085","396,745","255,831","162,744","1,479,552"
26,Bourgogne,"370,905","346,597","441,850","295,924","186,582","1,641,858"
53,Bretagne,"791,945","731,661","880,645","545,166","344,885","3,294,302"
24,Centre,"619,140","561,988","693,920","434,807","272,519","2,582,374"
21,Champagne-Ardenne,"323,237","311,396","358,478","218,374","128,176","1,339,661"
94,Corse,"67,159","77,130","91,185","57,017","34,407","326,898"
43,Franche-Comté,"287,398","273,706","315,237","190,208","112,635","1,179,184"
23,Haute-Normandie,"469,870","437,099","498,336","288,338","161,462","1,855,105"
11,Île-de-France,"3,133,357","3,430,843","3,193,560","1,507,433","808,721","12,073,914"
91,Languedoc-Roussillon,"643,404","619,857","738,828","494,418","294,285","2,790,792"
74,Limousin,"153,421","147,130","198,703","137,921","96,282","733,457"
41,Lorraine,"543,256","558,303","645,666","371,720","220,074","2,339,019"
73,Midi-Pyrénées,"684,040","699,695","807,286","489,218","320,834","3,001,073"
31,Nord - Pas-de-Calais,"1,086,264","1,028,438","1,063,106","574,498","321,351","4,073,657"
52,Pays de la Loire,"947,767","854,548","977,296","579,351","357,106","3,716,068"
22,Picardie,"499,103","456,717","526,383","291,212","159,781","1,933,196"
54,Poitou-Charentes,"401,307","372,786","486,454","329,060","210,843","1,800,450"
93,Provence-Alpes-Côte d'Azur,"1,142,994","1,131,608","1,333,119","854,058","527,656","4,989,435"
82,Rhône-Alpes,"1,649,182","1,614,445","1,724,764","960,419","561,751","6,510,561"
