Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"451,953","512,577","481,986","222,254","110,805","1,779,575"
72,Aquitaine,"690,740","776,459","832,502","440,462","283,759","3,023,922"
83,Auvergne,"292,222","332,904","369,746","200,970","127,564","1,323,406"
25,Basse-Normandie,"366,106","367,171","384,962","202,288","122,389","1,442,916"
26,Bourgogne,"382,391","401,886","444,720","237,481","154,279","1,620,757"
53,Bretagne,"741,681","783,166","796,685","429,378","258,339","3,009,249"
24,Centre,"609,826","636,571","673,633","344,023","220,235","2,484,288"
21,Champagne-Ardenne,"342,569","360,459","363,207","171,834","102,782","1,340,851"
94,Corse,"61,512","71,033","77,651","44,046","24,785","279,027"
43,Franche-Comté,"289,490","304,685","306,217","149,477","86,113","1,135,982"
23,Haute-Normandie,"483,553","483,581","486,466","217,267","127,057","1,797,924"
11,Île-de-France,"2,948,556","3,495,681","3,024,520","1,157,717","643,600","11,270,074"
91,Languedoc-Roussillon,"575,720","614,649","648,546","361,794","223,809","2,424,518"
74,Limousin,"146,531","172,587","199,277","118,509","84,447","721,351"
41,Lorraine,"586,760","633,608","632,401","309,416","163,834","2,326,019"
73,Midi-Pyrénées,"608,981","703,690","725,417","386,787","249,684","2,674,559"
31,Nord - Pas-de-Calais,"1,133,453","1,121,614","1,035,332","455,921","262,308","4,008,628"
52,Pays de la Loire,"865,216","894,878","882,396","437,752","267,433","3,347,675"
22,Picardie,"511,567","510,192","510,244","220,222","126,854","1,879,079"
54,Poitou-Charentes,"386,334","417,125","459,549","256,412","167,052","1,686,472"
93,Provence-Alpes-Côte d'Azur,"1,118,878","1,191,382","1,257,984","683,100","423,712","4,675,056"
82,Rhône-Alpes,"1,518,477","1,625,408","1,559,158","731,582","415,888","5,850,513"
