Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"446,230","535,917","382,183","194,486","89,148","1,647,964"
72,Aquitaine,"695,732","807,823","666,484","430,205","223,804","2,824,048"
83,Auvergne,"323,130","370,202","316,931","203,067","104,072","1,317,402"
25,Basse-Normandie,"397,456","406,780","310,665","195,142","87,758","1,397,801"
26,Bourgogne,"421,977","452,078","373,591","237,799","127,820","1,613,265"
53,Bretagne,"764,460","805,261","636,879","414,343","190,530","2,811,473"
24,Centre,"641,747","686,977","552,720","331,409","180,190","2,393,043"
21,Champagne-Ardenne,"384,949","404,132","306,771","168,159","83,806","1,347,817"
94,Corse,"60,378","72,268","61,518","38,814","18,720","251,698"
43,Franche-Comté,"311,594","325,016","256,919","140,595","68,202","1,102,326"
23,Haute-Normandie,"517,947","533,080","396,036","208,007","98,375","1,753,445"
11,Île-de-France,"2,904,011","3,578,354","2,635,604","1,084,582","550,725","10,753,276"
91,Languedoc-Roussillon,"530,464","606,891","501,359","343,474","171,644","2,153,832"
74,Limousin,"157,937","191,693","171,308","126,582","73,401","720,921"
41,Lorraine,"648,385","707,988","530,588","293,415","127,216","2,307,592"
73,Midi-Pyrénées,"583,779","715,798","582,216","376,628","203,212","2,461,633"
31,Nord - Pas-de-Calais,"1,243,982","1,194,750","852,244","479,251","200,969","3,971,196"
52,Pays de la Loire,"898,545","897,727","690,011","404,693","199,249","3,090,225"
22,Picardie,"548,142","550,937","410,669","217,131","99,403","1,826,282"
54,Poitou-Charentes,"408,993","446,143","370,111","248,165","132,175","1,605,587"
93,Provence-Alpes-Côte d'Azur,"1,076,132","1,225,595","1,048,183","645,466","331,287","4,326,663"
82,Rhône-Alpes,"1,507,545","1,648,062","1,289,695","665,248","322,494","5,433,044"
