Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"452,187","514,399","473,546","220,801","107,121","1,768,054"
72,Aquitaine,"686,286","776,403","813,450","441,042","275,951","2,993,132"
83,Auvergne,"293,045","335,214","364,404","202,787","124,350","1,319,800"
25,Basse-Normandie,"368,082","370,594","377,155","204,029","117,941","1,437,801"
26,Bourgogne,"384,880","405,859","437,883","239,682","150,133","1,618,437"
53,Bretagne,"738,672","783,368","777,030","432,726","249,969","2,981,765"
24,Centre,"610,826","639,213","662,333","345,707","214,899","2,472,978"
21,Champagne-Ardenne,"346,295","363,998","357,965","173,530","99,847","1,341,635"
94,Corse,"61,244","70,234","75,531","43,056","24,028","274,093"
43,Franche-Comté,"290,808","305,461","301,769","149,715","83,702","1,131,455"
23,Haute-Normandie,"487,417","486,180","478,696","218,528","123,278","1,794,099"
11,Île-de-France,"2,929,778","3,489,442","2,984,877","1,152,852","628,614","11,185,563"
91,Languedoc-Roussillon,"567,801","611,762","632,362","358,777","218,021","2,388,723"
74,Limousin,"146,063","173,686","195,961","120,146","82,860","718,716"
41,Lorraine,"592,207","638,021","621,778","312,635","158,385","2,323,026"
73,Midi-Pyrénées,"601,418","702,448","707,464","387,171","243,479","2,641,980"
31,Nord - Pas-de-Calais,"1,143,207","1,126,110","1,016,639","465,719","253,902","4,005,577"
52,Pays de la Loire,"862,228","893,402","861,614","438,991","258,414","3,314,649"
22,Picardie,"514,660","512,861","501,337","222,142","123,316","1,874,316"
54,Poitou-Charentes,"386,176","418,520","450,107","257,433","162,224","1,674,460"
93,Provence-Alpes-Côte d'Azur,"1,111,519","1,191,444","1,237,197","676,524","412,812","4,629,496"
82,Rhône-Alpes,"1,511,277","1,622,037","1,532,737","726,596","403,497","5,796,144"
