Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"448,112","479,905","526,481","250,849","146,978","1,852,325"
72,Aquitaine,"732,120","765,143","896,030","516,065","344,875","3,254,233"
83,Auvergne,"294,709","305,778","375,485","223,830","150,880","1,350,682"
25,Basse-Normandie,"354,514","336,201","401,766","228,888","154,315","1,475,684"
26,Bourgogne,"372,023","369,737","450,664","269,109","181,201","1,642,734"
53,Bretagne,"780,408","757,104","866,181","492,894","321,180","3,217,767"
24,Centre,"614,629","592,449","695,479","392,862","261,416","2,556,835"
21,Champagne-Ardenne,"324,898","328,037","365,168","196,057","121,893","1,336,053"
94,Corse,"65,399","75,182","88,943","53,312","31,650","314,486"
43,Franche-Comté,"290,000","286,318","316,818","173,479","106,825","1,173,440"
23,Haute-Normandie,"469,779","459,077","499,888","255,855","154,794","1,839,393"
11,Île-de-France,"3,071,017","3,493,039","3,131,223","1,383,699","773,873","11,852,851"
91,Languedoc-Roussillon,"622,980","619,529","715,033","435,841","276,663","2,670,046"
74,Limousin,"152,694","159,995","203,959","127,575","96,849","741,072"
41,Lorraine,"555,561","594,060","658,097","336,827","206,112","2,350,657"
73,Midi-Pyrénées,"661,129","703,117","792,502","441,317","305,355","2,903,420"
31,Nord - Pas-de-Calais,"1,085,537","1,074,019","1,062,213","513,245","307,001","4,042,015"
52,Pays de la Loire,"918,142","879,018","954,546","513,503","335,904","3,601,113"
22,Picardie,"499,506","481,778","526,267","259,503","151,101","1,918,155"
54,Poitou-Charentes,"398,192","395,154","487,005","294,917","202,505","1,777,773"
93,Provence-Alpes-Côte d'Azur,"1,135,570","1,156,231","1,323,397","791,794","509,077","4,916,069"
82,Rhône-Alpes,"1,593,489","1,620,992","1,670,893","870,502","527,665","6,283,541"
