Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"447,294","530,045","425,030","217,399","91,011","1,710,779"
72,Aquitaine,"674,441","788,260","723,512","454,989","235,620","2,876,822"
83,Auvergne,"299,807","353,474","336,728","214,238","105,984","1,310,231"
25,Basse-Normandie,"378,673","391,194","339,357","210,617","96,299","1,416,140"
26,Bourgogne,"398,147","431,803","402,888","251,465","130,098","1,614,401"
53,Bretagne,"733,872","795,341","690,545","445,122","205,474","2,870,354"
24,Centre,"616,422","668,382","603,618","356,918","186,694","2,432,034"
21,Champagne-Ardenne,"361,945","388,483","330,880","181,115","85,504","1,347,927"
94,Corse,"60,154","70,472","67,066","41,153","20,252","259,097"
43,Franche-Comté,"297,268","317,043","276,896","152,310","71,202","1,114,719"
23,Haute-Normandie,"498,206","513,763","435,621","223,629","105,113","1,776,332"
11,Île-de-France,"2,877,286","3,521,075","2,780,433","1,155,884","560,749","10,895,427"
91,Languedoc-Roussillon,"540,270","606,998","553,130","362,502","186,287","2,249,187"
74,Limousin,"147,420","182,938","179,812","130,894","72,983","714,047"
41,Lorraine,"615,220","675,981","571,346","321,860","131,837","2,316,244"
73,Midi-Pyrénées,"576,805","704,674","627,540","401,461","209,845","2,520,325"
31,Nord - Pas-de-Calais,"1,185,472","1,169,717","925,465","504,214","209,667","3,994,535"
52,Pays de la Loire,"861,916","897,796","763,952","446,220","212,421","3,182,305"
22,Picardie,"526,294","537,021","455,417","233,146","103,534","1,855,412"
54,Poitou-Charentes,"387,771","432,531","403,172","266,657","137,947","1,628,078"
93,Provence-Alpes-Côte d'Azur,"1,082,465","1,208,346","1,125,168","678,232","356,793","4,451,004"
82,Rhône-Alpes,"1,488,594","1,633,348","1,396,091","721,451","341,134","5,580,618"
