Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"453,135","496,881","520,501","224,387","132,344","1,827,248"
72,Aquitaine,"714,846","769,994","891,764","455,224","319,062","3,150,890"
83,Auvergne,"292,602","319,264","383,312","201,934","142,135","1,339,247"
25,Basse-Normandie,"360,006","351,004","407,054","203,558","139,807","1,461,429"
26,Bourgogne,"377,107","383,123","462,949","240,525","170,187","1,633,891"
53,Bretagne,"762,853","771,058","856,770","436,130","293,477","3,120,288"
24,Centre,"611,847","618,194","703,135","351,462","242,281","2,526,919"
21,Champagne-Ardenne,"333,048","342,666","376,054","173,476","114,243","1,339,487"
94,Corse,"63,309","73,146","85,869","47,670","29,215","299,209"
43,Franche-Comté,"289,886","296,446","319,930","154,721","97,688","1,158,671"
23,Haute-Normandie,"474,721","469,579","504,445","225,334","142,637","1,816,716"
11,Île-de-France,"3,021,977","3,503,295","3,138,930","1,224,134","710,530","11,598,866"
91,Languedoc-Roussillon,"602,926","619,677","700,276","384,560","253,431","2,560,870"
74,Limousin,"150,192","168,079","209,677","116,521","92,532","737,001"
41,Lorraine,"568,593","611,298","666,069","304,235","189,686","2,339,881"
73,Midi-Pyrénées,"642,859","704,854","784,893","395,417","282,224","2,810,247"
31,Nord - Pas-de-Calais,"1,100,332","1,094,399","1,080,086","456,086","290,773","4,021,676"
52,Pays de la Loire,"893,614","889,396","947,154","450,088","302,342","3,482,594"
22,Picardie,"503,541","493,983","533,696","227,199","141,935","1,900,354"
54,Poitou-Charentes,"394,105","408,107","488,978","262,395","186,195","1,739,780"
93,Provence-Alpes-Côte d'Azur,"1,149,206","1,183,525","1,332,266","725,547","473,471","4,864,015"
82,Rhône-Alpes,"1,554,389","1,613,469","1,644,738","773,246","480,117","6,065,959"
