Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"453,881","504,652","503,941","222,308","118,620","1,803,402"
72,Aquitaine,"704,026","770,501","868,072","444,563","301,034","3,088,196"
83,Auvergne,"293,441","325,190","379,245","199,585","134,318","1,331,779"
25,Basse-Normandie,"363,891","357,526","399,126","200,681","131,201","1,452,425"
26,Bourgogne,"379,809","390,736","457,639","235,500","162,506","1,626,190"
53,Bretagne,"753,913","775,701","833,236","427,947","275,788","3,066,585"
24,Centre,"612,106","625,734","693,564","344,110","231,732","2,507,246"
21,Champagne-Ardenne,"337,282","350,494","373,050","169,764","108,810","1,339,400"
94,Corse,"62,076","71,817","82,475","45,733","26,991","289,092"
43,Franche-Comté,"289,339","299,855","315,231","150,158","91,161","1,145,744"
23,Haute-Normandie,"479,550","474,289","499,584","218,789","134,465","1,806,677"
11,Île-de-France,"2,992,114","3,495,447","3,100,720","1,179,194","674,668","11,442,143"
91,Languedoc-Roussillon,"593,489","615,440","679,636","372,007","237,146","2,497,718"
74,Limousin,"147,635","169,269","205,535","116,309","88,739","727,487"
41,Lorraine,"580,041","619,353","655,579","302,397","175,098","2,332,468"
73,Midi-Pyrénées,"627,562","701,719","760,289","389,922","263,581","2,743,073"
31,Nord - Pas-de-Calais,"1,119,560","1,104,070","1,067,337","444,839","279,807","4,015,613"
52,Pays de la Loire,"879,189","889,532","922,086","439,726","284,858","3,415,391"
22,Picardie,"508,784","500,223","526,027","219,560","134,434","1,889,028"
54,Poitou-Charentes,"389,431","411,250","477,136","257,075","176,415","1,711,307"
93,Provence-Alpes-Côte d'Azur,"1,136,376","1,183,150","1,300,523","700,492","448,023","4,768,564"
82,Rhône-Alpes,"1,541,494","1,617,315","1,613,998","747,647","443,282","5,963,736"
