Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"451,840","493,377","525,149","229,541","137,180","1,837,087"
72,Aquitaine,"719,728","768,406","892,952","469,806","326,733","3,177,625"
83,Auvergne,"291,936","317,165","381,698","206,710","144,354","1,341,863"
25,Basse-Normandie,"360,630","346,985","406,914","209,053","143,843","1,467,425"
26,Bourgogne,"376,468","380,122","460,942","246,971","174,085","1,638,588"
53,Bretagne,"767,672","770,506","861,522","449,531","300,470","3,149,701"
24,Centre,"608,808","612,741","701,550","360,106","248,383","2,531,588"
21,Champagne-Ardenne,"331,023","339,063","373,367","178,113","116,438","1,338,004"
94,Corse,"63,031","73,459","87,338","49,189","29,949","302,966"
43,Franche-Comté,"290,393","294,693","319,093","159,321","100,431","1,163,931"
23,Haute-Normandie,"473,606","468,580","504,451","232,637","146,393","1,825,667"
11,Île-de-France,"3,029,354","3,499,434","3,132,036","1,265,663","732,773","11,659,260"
91,Languedoc-Roussillon,"604,415","619,124","701,788","396,198","260,193","2,581,718"
74,Limousin,"151,561","166,903","208,821","119,054","94,404","740,743"
41,Lorraine,"566,132","607,769","667,215","310,293","194,952","2,346,361"
73,Midi-Pyrénées,"649,382","705,631","787,627","405,455","290,133","2,838,228"
31,Nord - Pas-de-Calais,"1,094,759","1,092,393","1,076,048","467,201","294,089","4,024,490"
52,Pays de la Loire,"898,680","886,732","948,464","464,290","312,004","3,510,170"
22,Picardie,"502,426","493,940","532,169","234,112","143,954","1,906,601"
54,Poitou-Charentes,"395,259","406,213","489,073","270,359","191,804","1,752,708"
93,Provence-Alpes-Côte d'Azur,"1,146,652","1,175,723","1,332,169","743,578","484,791","4,882,913"
82,Rhône-Alpes,"1,563,820","1,612,445","1,648,989","797,851","494,124","6,117,229"
