Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"451,386","518,777","452,970","220,465","100,357","1,743,955"
72,Aquitaine,"679,346","774,984","771,588","447,533","259,772","2,933,223"
83,Auvergne,"294,729","340,587","350,933","208,678","117,300","1,312,227"
25,Basse-Normandie,"372,687","377,080","359,384","208,529","109,248","1,426,928"
26,Bourgogne,"389,974","414,040","421,149","245,825","141,830","1,612,818"
53,Bretagne,"734,551","783,123","734,478","442,436","233,024","2,927,612"
24,Centre,"611,871","647,088","635,580","352,400","203,182","2,450,121"
21,Champagne-Ardenne,"352,978","372,340","344,382","178,441","93,866","1,342,007"
94,Corse,"60,486","69,103","71,120","41,503","22,327","264,539"
43,Franche-Comté,"293,238","308,161","289,740","151,979","78,394","1,121,512"
23,Haute-Normandie,"492,637","494,080","459,788","222,512","115,558","1,784,575"
11,Île-de-France,"2,895,932","3,477,197","2,891,492","1,156,772","598,598","11,019,991"
91,Languedoc-Roussillon,"554,841","606,486","596,430","359,343","204,972","2,322,072"
74,Limousin,"145,515","176,518","187,386","124,945","78,885","713,249"
41,Lorraine,"602,038","649,036","595,756","320,866","147,213","2,314,909"
73,Midi-Pyrénées,"588,010","698,277","668,674","393,314","229,979","2,578,254"
31,Nord - Pas-de-Calais,"1,162,645","1,138,982","971,671","489,319","235,247","3,997,864"
52,Pays de la Loire,"857,754","889,956","815,305","445,182","240,797","3,248,994"
22,Picardie,"519,938","519,053","479,689","229,299","114,959","1,862,938"
54,Poitou-Charentes,"386,050","421,295","428,159","262,118","152,756","1,650,378"
93,Provence-Alpes-Côte d'Azur,"1,098,716","1,191,573","1,188,914","673,463","388,842","4,541,508"
82,Rhône-Alpes,"1,498,770","1,615,668","1,471,626","724,761","377,699","5,688,524"
