Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"453,529","501,165","513,192","220,698","126,909","1,815,493"
72,Aquitaine,"709,751","769,071","885,389","443,599","311,968","3,119,778"
83,Auvergne,"293,496","322,202","383,439","197,790","139,011","1,335,938"
25,Basse-Normandie,"362,262","353,576","405,996","199,278","135,681","1,456,793"
26,Bourgogne,"377,927","385,914","463,028","235,070","166,898","1,628,837"
53,Bretagne,"757,353","776,329","850,439","425,558","284,855","3,094,534"
24,Centre,"613,729","621,338","703,346","343,532","237,622","2,519,567"
21,Champagne-Ardenne,"334,900","345,855","376,887","169,441","111,767","1,338,850"
94,Corse,"63,276","71,661","84,706","46,314","28,161","294,118"
43,Franche-Comté,"289,236","297,845","318,611","150,443","94,489","1,150,624"
23,Haute-Normandie,"476,065","472,501","505,184","219,139","138,166","1,811,055"
11,Île-de-France,"3,008,457","3,508,802","3,133,960","1,189,412","691,767","11,532,398"
91,Languedoc-Roussillon,"600,630","617,976","694,591","374,896","246,051","2,534,144"
74,Limousin,"148,593","168,722","208,687","114,411","90,507","730,920"
41,Lorraine,"573,475","614,496","664,908","299,472","183,398","2,335,749"
73,Midi-Pyrénées,"634,332","705,235","775,234","386,698","275,323","2,776,822"
31,Nord - Pas-de-Calais,"1,110,812","1,095,822","1,083,292","446,571","282,147","4,018,644"
52,Pays de la Loire,"887,105","889,919","940,306","438,626","294,457","3,450,413"
22,Picardie,"505,560","496,551","533,554","220,458","138,232","1,894,355"
54,Poitou-Charentes,"391,829","408,559","486,343","255,865","181,527","1,724,123"
93,Provence-Alpes-Côte d'Azur,"1,143,027","1,183,453","1,319,382","707,439","461,931","4,815,232"
82,Rhône-Alpes,"1,545,057","1,619,480","1,636,692","754,990","465,127","6,021,346"
