Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"448,675","532,811","375,679","186,203","92,062","1,635,430"
72,Aquitaine,"703,243","806,245","656,203","415,122","229,695","2,810,508"
83,Auvergne,"329,627","372,371","313,967","195,806","107,946","1,319,717"
25,Basse-Normandie,"403,278","407,521","306,851","187,287","89,824","1,394,761"
26,Bourgogne,"428,606","453,396","368,203","229,233","131,798","1,611,236"
53,Bretagne,"776,064","803,387","628,984","399,391","195,657","2,803,483"
24,Centre,"648,649","686,118","542,920","318,963","184,757","2,381,407"
21,Champagne-Ardenne,"391,570","405,730","302,637","161,841","86,355","1,348,133"
94,Corse,"60,774","72,894","60,965","38,034","18,992","251,659"
43,Franche-Comté,"315,589","325,064","253,472","135,130","70,049","1,099,304"
23,Haute-Normandie,"522,474","533,307","388,320","200,126","100,270","1,744,497"
11,Île-de-France,"2,909,951","3,568,426","2,603,517","1,047,162","566,500","10,695,556"
91,Languedoc-Roussillon,"531,818","602,733","493,669","331,248","176,054","2,135,522"
74,Limousin,"160,815","192,468","170,113","122,336","76,150","721,882"
41,Lorraine,"657,873","709,408","525,591","281,426","130,416","2,304,714"
73,Midi-Pyrénées,"588,392","711,414","573,927","362,447","208,928","2,445,108"
31,Nord - Pas-de-Calais,"1,259,198","1,194,419","842,412","459,262","210,102","3,965,393"
52,Pays de la Loire,"909,132","893,627","676,930","387,671","204,240","3,071,600"
22,Picardie,"553,191","551,074","402,386","208,740","102,275","1,817,666"
54,Poitou-Charentes,"415,117","446,157","364,751","238,300","136,213","1,600,538"
93,Provence-Alpes-Côte d'Azur,"1,077,190","1,220,436","1,033,598","625,304","336,971","4,293,499"
82,Rhône-Alpes,"1,514,229","1,637,610","1,268,752","638,751","329,706","5,389,048"
