Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"444,803","538,551","390,214","203,340","86,059","1,662,967"
72,Aquitaine,"688,268","808,739","676,971","444,152","219,360","2,837,490"
83,Auvergne,"316,579","368,707","320,177","209,671","100,843","1,315,977"
25,Basse-Normandie,"392,148","405,683","315,880","202,494","86,445","1,402,650"
26,Bourgogne,"415,087","450,706","378,909","245,542","124,361","1,614,605"
53,Bretagne,"753,648","807,694","645,476","429,429","186,475","2,822,722"
24,Centre,"633,489","687,166","563,195","343,178","176,459","2,403,487"
21,Champagne-Ardenne,"378,371","403,537","311,329","174,116","81,545","1,348,898"
94,Corse,"60,148","72,430","62,617","39,787","18,613","253,595"
43,Franche-Comté,"307,345","324,997","260,625","145,693","66,751","1,105,411"
23,Haute-Normandie,"512,094","532,454","403,889","214,847","96,860","1,760,144"
11,Île-de-France,"2,890,356","3,582,401","2,664,352","1,117,652","538,653","10,793,414"
91,Languedoc-Roussillon,"530,214","610,168","510,771","355,006","168,865","2,175,024"
74,Limousin,"155,075","190,711","172,862","130,138","70,916","719,702"
41,Lorraine,"638,959","706,353","537,050","305,377","123,775","2,311,514"
73,Midi-Pyrénées,"579,593","718,078","590,091","390,279","198,334","2,476,375"
31,Nord - Pas-de-Calais,"1,228,270","1,194,934","864,310","496,768","193,500","3,977,782"
52,Pays de la Loire,"887,530","902,299","704,198","421,558","195,199","3,110,784"
22,Picardie,"542,387","550,977","419,875","224,612","97,072","1,834,923"
54,Poitou-Charentes,"402,031","446,203","375,690","257,039","128,944","1,609,907"
93,Provence-Alpes-Côte d'Azur,"1,073,807","1,229,320","1,062,539","664,281","326,928","4,356,875"
82,Rhône-Alpes,"1,500,271","1,656,479","1,311,170","690,026","316,969","5,474,915"
