Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"447,054","467,719","530,260","273,417","156,158","1,874,608"
72,Aquitaine,"749,432","757,776","918,140","561,790","356,714","3,343,852"
83,Auvergne,"296,136","293,833","375,290","240,725","154,653","1,360,637"
25,Basse-Normandie,"351,104","319,093","399,444","248,705","160,759","1,479,105"
26,Bourgogne,"370,856","351,492","445,255","289,377","185,126","1,642,106"
53,Bretagne,"788,826","736,939","879,002","531,959","339,669","3,276,395"
24,Centre,"617,134","568,765","695,932","424,440","269,925","2,576,196"
21,Champagne-Ardenne,"323,372","315,208","361,486","212,569","126,618","1,339,253"
94,Corse,"66,201","76,540","90,929","56,201","33,650","323,521"
43,Franche-Comté,"287,413","276,760","316,804","186,031","111,190","1,178,198"
23,Haute-Normandie,"469,792","442,227","500,316","280,540","159,619","1,852,494"
11,Île-de-France,"3,111,581","3,444,464","3,182,813","1,478,019","797,937","12,014,814"
91,Languedoc-Roussillon,"637,455","617,393","735,709","479,864","290,007","2,760,428"
74,Limousin,"153,103","150,217","200,134","135,419","96,447","735,320"
41,Lorraine,"545,333","565,842","651,569","362,253","217,056","2,342,053"
73,Midi-Pyrénées,"677,275","700,219","805,796","476,350","317,572","2,977,212"
31,Nord - Pas-de-Calais,"1,084,824","1,039,773","1,065,168","559,253","317,679","4,066,697"
52,Pays de la Loire,"940,583","859,508","973,707","562,659","351,944","3,688,401"
22,Picardie,"498,582","462,845","527,575","283,323","157,770","1,930,095"
54,Poitou-Charentes,"399,465","378,348","488,023","320,216","208,647","1,794,699"
93,Provence-Alpes-Côte d'Azur,"1,140,132","1,135,230","1,335,606","837,988","522,666","4,971,622"
82,Rhône-Alpes,"1,633,393","1,613,005","1,717,020","938,351","552,603","6,454,372"
