Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"449,858","489,021","527,265","236,452","140,457","1,843,053"
72,Aquitaine,"724,341","767,861","894,072","486,051","333,812","3,206,137"
83,Auvergne,"294,078","311,249","379,965","212,298","146,374","1,343,964"
25,Basse-Normandie,"358,704","343,402","405,244","215,662","147,868","1,470,880"
26,Bourgogne,"376,740","375,728","458,649","254,134","177,189","1,642,440"
53,Bretagne,"773,652","768,031","861,478","464,496","307,407","3,175,064"
24,Centre,"609,882","606,762","698,131","371,274","252,541","2,538,590"
21,Champagne-Ardenne,"329,339","335,069","371,380","184,281","117,884","1,337,953"
94,Corse,"62,752","74,505","87,688","50,353","30,376","305,674"
43,Franche-Comté,"289,478","293,468","317,840","164,746","102,676","1,168,208"
23,Haute-Normandie,"473,513","466,665","503,016","240,352","149,396","1,832,942"
11,Île-de-France,"3,042,263","3,503,403","3,130,128","1,306,358","746,088","11,728,240"
91,Languedoc-Roussillon,"610,825","618,377","706,645","408,854","266,189","2,610,890"
74,Limousin,"151,914","164,899","207,128","122,673","95,171","741,785"
41,Lorraine,"562,034","605,920","664,895","318,397","198,866","2,350,112"
73,Midi-Pyrénées,"653,561","706,176","789,386","418,128","295,456","2,862,707"
31,Nord - Pas-de-Calais,"1,090,905","1,089,635","1,070,953","482,704","299,000","4,033,197"
52,Pays de la Loire,"903,090","886,448","948,268","481,445","319,797","3,539,048"
22,Picardie,"501,239","490,293","531,038","242,480","146,107","1,911,157"
54,Poitou-Charentes,"396,266","402,743","487,712","278,357","195,497","1,760,575"
93,Provence-Alpes-Côte d'Azur,"1,140,559","1,165,788","1,327,952","759,360","495,394","4,889,053"
82,Rhône-Alpes,"1,573,847","1,617,009","1,655,781","821,372","506,031","6,174,040"
