Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"451,716","516,906","463,783","220,160","103,513","1,756,078"
72,Aquitaine,"682,727","775,667","792,274","444,243","268,003","2,962,914"
83,Auvergne,"293,840","338,072","357,325","205,938","120,769","1,315,944"
25,Basse-Normandie,"370,508","373,956","367,801","206,639","113,496","1,432,400"
26,Bourgogne,"387,516","409,914","428,929","243,316","145,976","1,615,651"
53,Bretagne,"736,353","783,232","753,948","439,101","241,690","2,954,324"
24,Centre,"611,906","642,433","648,636","349,728","209,075","2,461,778"
21,Champagne-Ardenne,"349,929","367,831","350,665","176,781","96,672","1,341,878"
94,Corse,"61,105","69,464","73,150","42,503","23,051","269,273"
43,Franche-Comté,"292,298","306,753","295,281","151,452","80,911","1,126,695"
23,Haute-Normandie,"490,215","489,925","468,631","221,240","119,395","1,789,406"
11,Île-de-France,"2,911,377","3,482,811","2,937,813","1,157,090","613,733","11,102,824"
91,Languedoc-Roussillon,"560,037","609,202","614,295","358,762","211,333","2,353,629"
74,Limousin,"145,811","174,930","191,684","122,432","80,939","715,796"
41,Lorraine,"597,628","643,477","607,124","318,053","152,509","2,318,791"
73,Midi-Pyrénées,"593,787","701,192","688,134","389,532","236,577","2,609,222"
31,Nord - Pas-de-Calais,"1,153,356","1,132,002","989,901","481,261","244,622","4,001,142"
52,Pays de la Loire,"860,111","891,960","837,156","442,723","249,729","3,281,679"
22,Picardie,"517,830","515,498","489,663","226,631","119,137","1,868,759"
54,Poitou-Charentes,"385,879","419,893","438,911","260,052","157,398","1,662,133"
93,Provence-Alpes-Côte d'Azur,"1,104,206","1,191,805","1,212,582","674,973","400,813","4,584,379"
82,Rhône-Alpes,"1,504,558","1,619,578","1,502,155","725,131","390,455","5,741,877"
