Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"448,316","525,443","433,939","217,888","94,399","1,719,985"
72,Aquitaine,"673,862","781,851","738,081","450,910","244,089","2,888,793"
83,Auvergne,"297,438","348,603","341,505","211,775","110,298","1,309,619"
25,Basse-Normandie,"376,129","386,369","345,624","210,260","100,392","1,418,774"
26,Bourgogne,"394,673","426,147","409,253","248,820","134,340","1,613,233"
53,Bretagne,"733,375","791,006","704,593","444,668","214,595","2,888,237"
24,Centre,"614,097","661,759","614,529","355,350","192,470","2,438,205"
21,Champagne-Ardenne,"358,977","383,393","335,374","180,043","88,531","1,346,318"
94,Corse,"59,939","69,631","68,021","40,922","20,953","259,466"
43,Franche-Comté,"295,318","313,865","281,045","151,903","73,783","1,115,914"
23,Haute-Normandie,"496,327","507,318","443,799","223,254","108,694","1,779,392"
11,Île-de-France,"2,874,177","3,498,549","2,811,580","1,154,060","574,256","10,912,622"
91,Languedoc-Roussillon,"545,213","606,722","567,267","360,999","193,523","2,273,724"
74,Limousin,"146,320","180,570","182,142","128,474","75,096","712,602"
41,Lorraine,"609,775","666,014","578,623","321,326","136,828","2,312,566"
73,Midi-Pyrénées,"579,225","700,170","639,391","397,643","217,337","2,533,766"
31,Nord - Pas-de-Calais,"1,177,661","1,159,776","940,620","499,496","217,884","3,995,437"
52,Pays de la Loire,"859,040","893,858","779,938","445,876","221,747","3,200,459"
22,Picardie,"522,791","531,355","462,947","231,932","107,310","1,856,335"
54,Poitou-Charentes,"386,362","428,896","411,691","265,130","143,009","1,635,088"
93,Provence-Alpes-Côte d'Azur,"1,087,734","1,202,133","1,146,299","674,630","368,848","4,479,644"
82,Rhône-Alpes,"1,490,173","1,624,051","1,418,855","720,980","354,724","5,608,783"
