Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,406,402","1,540,153","1,393,108","719,772","341,436","5,400,871"
75,Aquitaine-Limousin-Poitou-Charentes,"1,210,911","1,372,797","1,387,133","834,596","491,413","5,296,850"
84,Auvergne-Rhône-Alpes,"1,793,499","1,956,255","1,822,559","933,439","494,999","7,000,751"
27,Bourgogne-Franche-Comté,"683,212","722,201","710,889","397,804","220,224","2,734,330"
53,Bretagne,"734,551","783,123","734,478","442,436","233,024","2,927,612"
24,Centre-Val de Loire,"611,871","647,088","635,580","352,400","203,182","2,450,121"
94,Corse,"60,486","69,103","71,120","41,503","22,327","264,539"
11,Île-de-France,"2,895,932","3,477,197","2,891,492","1,156,772","598,598","11,019,991"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,142,851","1,304,763","1,265,104","752,657","434,951","4,900,326"
32,Nord-Pas-de-Calais-Picardie,"1,682,583","1,658,035","1,451,360","718,618","350,206","5,860,802"
28,Normandie,"865,324","871,160","819,172","431,041","224,806","3,211,503"
52,Pays de la Loire,"857,754","889,956","815,305","445,182","240,797","3,248,994"
93,Provence-Alpes-Côte d'Azur,"1,098,716","1,191,573","1,188,914","673,463","388,842","4,541,508"
