Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,381,282","1,506,644","1,477,594","703,504","377,421","5,446,445"
75,Aquitaine-Limousin-Poitou-Charentes,"1,223,605","1,366,171","1,491,328","815,383","535,258","5,431,745"
84,Auvergne-Rhône-Alpes,"1,810,699","1,958,312","1,928,904","932,552","543,452","7,173,919"
27,Bourgogne-Franche-Comté,"671,881","706,571","750,937","386,958","240,392","2,756,739"
53,Bretagne,"741,681","783,166","796,685","429,378","258,339","3,009,249"
24,Centre-Val de Loire,"609,826","636,571","673,633","344,023","220,235","2,484,288"
94,Corse,"61,512","71,033","77,651","44,046","24,785","279,027"
11,Île-de-France,"2,948,556","3,495,681","3,024,520","1,157,717","643,600","11,270,074"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,184,701","1,318,339","1,373,963","748,581","473,493","5,099,077"
32,Nord-Pas-de-Calais-Picardie,"1,645,020","1,631,806","1,545,576","676,143","389,162","5,887,707"
28,Normandie,"849,659","850,752","871,428","419,555","249,446","3,240,840"
52,Pays de la Loire,"865,216","894,878","882,396","437,752","267,433","3,347,675"
93,Provence-Alpes-Côte d'Azur,"1,118,878","1,191,382","1,257,984","683,100","423,712","4,675,056"
