Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,390,689","1,516,418","1,453,289","706,966","365,353","5,432,715"
75,Aquitaine-Limousin-Poitou-Charentes,"1,218,525","1,368,609","1,459,518","818,621","521,035","5,386,308"
84,Auvergne-Rhône-Alpes,"1,804,322","1,957,251","1,897,141","929,383","527,847","7,115,944"
27,Bourgogne-Franche-Comté,"675,688","711,320","739,652","389,397","233,835","2,749,892"
53,Bretagne,"738,672","783,368","777,030","432,726","249,969","2,981,765"
24,Centre-Val de Loire,"610,826","639,213","662,333","345,707","214,899","2,472,978"
94,Corse,"61,244","70,234","75,531","43,056","24,028","274,093"
11,Île-de-France,"2,929,778","3,489,442","2,984,877","1,152,852","628,614","11,185,563"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,169,219","1,314,210","1,339,826","745,948","461,500","5,030,703"
32,Nord-Pas-de-Calais-Picardie,"1,657,867","1,638,971","1,517,976","687,861","377,218","5,879,893"
28,Normandie,"855,499","856,774","855,851","422,557","241,219","3,231,900"
52,Pays de la Loire,"862,228","893,402","861,614","438,991","258,414","3,314,649"
93,Provence-Alpes-Côte d'Azur,"1,111,519","1,191,444","1,237,197","676,524","412,812","4,629,496"
