Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,377,034","1,489,411","1,505,037","698,637","388,759","5,458,878"
75,Aquitaine-Limousin-Poitou-Charentes,"1,232,126","1,358,896","1,520,052","816,042","549,397","5,476,513"
84,Auvergne-Rhône-Alpes,"1,823,095","1,950,301","1,961,399","938,270","558,768","7,231,833"
27,Bourgogne-Franche-Comté,"670,547","698,182","762,494","385,540","246,171","2,762,934"
53,Bretagne,"748,027","779,238","814,623","428,368","266,821","3,037,077"
24,Centre-Val de Loire,"611,099","630,863","683,741","343,506","225,070","2,494,279"
94,Corse,"61,737","71,611","79,994","44,827","25,803","283,972"
11,Île-de-France,"2,970,969","3,493,848","3,063,842","1,166,374","655,257","11,350,290"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,203,295","1,317,414","1,405,919","755,205","485,719","5,167,552"
32,Nord-Pas-de-Calais-Picardie,"1,637,580","1,616,223","1,571,113","668,377","400,664","5,893,957"
28,Normandie,"847,036","840,536","885,633","419,129","256,886","3,249,220"
52,Pays de la Loire,"872,213","892,093","901,713","438,566","275,199","3,379,784"
93,Provence-Alpes-Côte d'Azur,"1,127,581","1,187,177","1,279,079","691,333","433,962","4,719,132"
