Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,317,776","1,366,597","1,547,689","827,550","492,776","5,552,388"
75,Aquitaine-Limousin-Poitou-Charentes,"1,293,381","1,300,696","1,600,419","992,066","657,615","5,844,177"
84,Auvergne-Rhône-Alpes,"1,912,683","1,917,582","2,077,863","1,151,276","698,191","7,757,595"
27,Bourgogne-Franche-Comté,"658,595","637,923","764,425","465,309","293,531","2,819,783"
53,Bretagne,"784,890","745,740","874,341","518,934","334,802","3,258,707"
24,Centre-Val de Loire,"614,810","577,670","695,917","414,502","267,649","2,570,548"
94,Corse,"65,587","76,071","90,363","55,162","33,025","320,208"
11,Île-de-France,"3,093,352","3,463,237","3,164,711","1,450,189","788,318","11,959,807"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,300,662","1,321,284","1,531,393","930,784","599,755","5,683,878"
32,Nord-Pas-de-Calais-Picardie,"1,581,474","1,522,747","1,590,812","821,266","471,584","5,987,883"
28,Normandie,"821,273","773,953","900,922","515,083","317,133","3,328,364"
52,Pays de la Loire,"932,721","867,024","966,888","547,107","347,112","3,660,852"
93,Provence-Alpes-Côte d'Azur,"1,135,892","1,143,538","1,333,442","823,288","517,515","4,953,675"
