Code,Régions 2016,2006,2011,1999,1990,1982,1975,1968
11,Île-de-France,16.7,18.0265676362,16.9861714511,24.6077149533,35.3352016821,32.9629848011,36.5117867171
24,Centre-Val de Loire,14.1,17.452202082,20.9677972778,29.7442043989,39.2690881807,40.8489269287,46.2751242215
27,Bourgogne et Franche-Comté,14,17.6712840898,20.7479001388,29.1273680621,37.4131301129,38.7836796225,43.4488683748
28,Normandie,13.5,20.1263381228,24.6018615378,33.9356478155,43.0870670866,44.9428597485,50.2196661567
32,Nord-Pas-de-Calais et Picardie,14.1,20.2585165969,23.8992971469,32.9111902708,41.7040266271,41.8718817592,47.971955776
44,"Alsace, Champagne-Ardenne et Lorraine",14,19.4554778938,22.1231273413,31.2556139344,41.0553169589,42.3275499261,47.3524244173
52,Pays de la Loire,14.9,16.0630035352,20.5507330819,29.1788525383,39.8270738016,42.5505489881,48.3538954962
53,Bretagne,16.2,12.6805607054,16.6083756464,26.2408131836,36.4674837431,40.2110962707,47.1051138147
75,"Aquitaine, Limousin et Poitou-Charentes",15.3,15.9659688238,20.0041263908,30.4442745548,40.5666011797,42.2098557342,48.433167219
76,Languedoc-Roussillon et Midi-Pyrénées,16.2,16.5529258247,19.8897116423,30.8541414887,42.1090827729,43.9980930451,50.3204302855
84,Auvergne et Rhône-Alpes,15.5,16.3225887167,18.6911687783,26.8930000966,37.4126367669,38.2121439865,43.1044308581
93,Provence-Alpes-Côte d'Azur,16.5,18.3016657311,20.2006365927,29.9369184868,42.6377899122,41.0144051182,46.8824409758
94,Corse,19.3,22.731836772,25.979200718,41.7585565855,57.678175577,N/A - secret statistique,N/A - secret statistique
