Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,0 à 19 ans
44,Alsace-Champagne-Ardenne-Lorraine,"1,328,571","1,402,002","1,549,746","783,733","474,983","1,328,571"
75,Aquitaine-Limousin-Poitou-Charentes,"1,283,006","1,320,292","1,586,994","938,557","644,229","1,283,006"
84,Auvergne-Rhône-Alpes,"1,888,198","1,926,770","2,046,378","1,094,332","678,545","1,888,198"
27,Bourgogne-Franche-Comté,"662,023","656,055","767,482","442,588","288,026","662,023"
53,Bretagne,"780,408","757,104","866,181","492,894","321,180","780,408"
24,Centre-Val de Loire,"614,629","592,449","695,479","392,862","261,416","614,629"
94,Corse,"65,399","75,182","88,943","53,312","31,650","65,399"
11,Île-de-France,"3,071,017","3,493,039","3,131,223","1,383,699","773,873","3,071,017"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,284,109","1,322,646","1,507,535","877,158","582,018","1,284,109"
32,Nord-Pas-de-Calais-Picardie,"1,585,043","1,555,797","1,588,480","772,748","458,102","1,585,043"
28,Normandie,"824,293","795,278","901,654","484,743","309,109","824,293"
52,Pays de la Loire,"918,142","879,018","954,546","513,503","335,904","918,142"
93,Provence-Alpes-Côte d'Azur,"1,135,570","1,156,231","1,323,397","791,794","509,077","1,135,570"
