Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,361,904","1,461,516","1,554,987","689,611","422,074","5,490,092"
75,Aquitaine-Limousin-Poitou-Charentes,"1,250,173","1,346,352","1,580,419","813,875","584,002","5,574,821"
84,Auvergne-Rhône-Alpes,"1,838,553","1,941,682","2,020,131","952,780","604,138","7,357,284"
27,Bourgogne-Franche-Comté,"667,163","683,759","781,639","385,513","261,387","2,779,461"
53,Bretagne,"757,353","776,329","850,439","425,558","284,855","3,094,534"
24,Centre-Val de Loire,"613,729","621,338","703,346","343,532","237,622","2,519,567"
94,Corse,"63,276","71,661","84,706","46,314","28,161","294,118"
11,Île-de-France,"3,008,457","3,508,802","3,133,960","1,189,412","691,767","11,532,398"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,234,962","1,323,211","1,469,825","761,594","521,374","5,310,966"
32,Nord-Pas-de-Calais-Picardie,"1,616,372","1,592,373","1,616,846","667,029","420,379","5,912,999"
28,Normandie,"838,327","826,077","911,180","418,417","273,847","3,267,848"
52,Pays de la Loire,"887,105","889,919","940,306","438,626","294,457","3,450,413"
93,Provence-Alpes-Côte d'Azur,"1,143,027","1,183,453","1,319,382","707,439","461,931","4,815,232"
