Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,498,118","1,647,949","1,203,907","629,470","308,833","5,288,277"
75,Aquitaine-Limousin-Poitou-Charentes,"1,279,175","1,444,870","1,191,067","775,758","442,058","5,132,928"
84,Auvergne-Rhône-Alpes,"1,843,856","2,009,981","1,582,719","834,557","437,652","6,708,765"
27,Bourgogne-Franche-Comté,"744,195","778,460","621,675","364,363","201,847","2,710,540"
53,Bretagne,"776,064","803,387","628,984","399,391","195,657","2,803,483"
24,Centre-Val de Loire,"648,649","686,118","542,920","318,963","184,757","2,381,407"
94,Corse,"60,774","72,894","60,965","38,034","18,992","251,659"
11,Île-de-France,"2,909,951","3,568,426","2,603,517","1,047,162","566,500","10,695,556"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,120,210","1,314,147","1,067,596","693,695","384,982","4,580,630"
32,Nord-Pas-de-Calais-Picardie,"1,812,389","1,745,493","1,244,798","668,002","312,377","5,783,059"
28,Normandie,"925,752","940,828","695,171","387,413","190,094","3,139,258"
52,Pays de la Loire,"909,132","893,627","676,930","387,671","204,240","3,071,600"
93,Provence-Alpes-Côte d'Azur,"1,077,190","1,220,436","1,033,598","625,304","336,971","4,293,499"
