Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,417,068","1,574,850","1,347,936","719,257","319,758","5,378,869"
75,Aquitaine-Limousin-Poitou-Charentes,"1,206,544","1,391,317","1,331,914","844,514","462,194","5,236,483"
84,Auvergne-Rhône-Alpes,"1,787,611","1,972,654","1,760,360","932,755","465,022","6,918,402"
27,Bourgogne-Franche-Comté,"689,991","740,012","690,298","400,723","208,123","2,729,147"
53,Bretagne,"733,375","791,006","704,593","444,668","214,595","2,888,237"
24,Centre-Val de Loire,"614,097","661,759","614,529","355,350","192,470","2,438,205"
94,Corse,"59,939","69,631","68,021","40,922","20,953","259,466"
11,Île-de-France,"2,874,177","3,498,549","2,811,580","1,154,060","574,256","10,912,622"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,124,438","1,306,892","1,206,658","758,642","410,860","4,807,490"
32,Nord-Pas-de-Calais-Picardie,"1,700,452","1,691,131","1,403,567","731,428","325,194","5,851,772"
28,Normandie,"872,456","893,687","789,423","433,514","209,086","3,198,166"
52,Pays de la Loire,"859,040","893,858","779,938","445,876","221,747","3,200,459"
93,Provence-Alpes-Côte d'Azur,"1,087,734","1,202,133","1,146,299","674,630","368,848","4,479,644"
