Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,411,629","1,557,445","1,368,256","719,316","330,863","5,387,509"
75,Aquitaine-Limousin-Poitou-Charentes,"1,206,720","1,380,083","1,356,728","836,855","477,568","5,257,954"
84,Auvergne-Rhône-Alpes,"1,789,134","1,961,580","1,787,657","930,977","480,260","6,949,608"
27,Bourgogne-Franche-Comté,"685,741","730,445","699,026","398,342","214,532","2,728,086"
53,Bretagne,"732,977","785,554","718,621","442,407","224,516","2,904,075"
24,Centre-Val de Loire,"611,626","654,052","623,671","353,191","197,755","2,440,295"
94,Corse,"59,884","68,833","69,028","40,834","21,573","260,152"
11,Île-de-France,"2,879,710","3,479,466","2,846,776","1,154,587","585,473","10,946,012"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,132,031","1,302,256","1,231,941","753,010","423,442","4,842,680"
32,Nord-Pas-de-Calais-Picardie,"1,691,690","1,675,958","1,425,750","724,711","337,339","5,855,448"
28,Normandie,"868,512","882,832","802,937","431,472","216,696","3,202,449"
52,Pays de la Loire,"857,060","890,895","795,339","444,358","232,308","3,219,960"
93,Provence-Alpes-Côte d'Azur,"1,091,194","1,195,957","1,164,684","671,579","378,971","4,502,385"
