Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,479,564","1,648,037","1,219,542","656,060","300,170","5,303,373"
75,Aquitaine-Limousin-Poitou-Charentes,"1,262,662","1,445,659","1,207,903","804,952","429,380","5,150,556"
84,Auvergne-Rhône-Alpes,"1,830,675","2,018,264","1,606,626","868,315","426,566","6,750,446"
27,Bourgogne-Franche-Comté,"733,571","777,094","630,510","378,394","196,022","2,715,591"
53,Bretagne,"764,460","805,261","636,879","414,343","190,530","2,811,473"
24,Centre-Val de Loire,"641,747","686,977","552,720","331,409","180,190","2,393,043"
94,Corse,"60,378","72,268","61,518","38,814","18,720","251,698"
11,Île-de-France,"2,904,011","3,578,354","2,635,604","1,084,582","550,725","10,753,276"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,114,243","1,322,689","1,083,575","720,102","374,856","4,615,465"
32,Nord-Pas-de-Calais-Picardie,"1,792,124","1,745,687","1,262,913","696,382","300,372","5,797,478"
28,Normandie,"915,403","939,860","706,701","403,149","186,133","3,151,246"
52,Pays de la Loire,"898,545","897,727","690,011","404,693","199,249","3,090,225"
93,Provence-Alpes-Côte d'Azur,"1,076,132","1,225,595","1,048,183","645,466","331,287","4,326,663"
