Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,315,759","1,348,769","1,543,315","848,239","499,832","5,555,914"
75,Aquitaine-Limousin-Poitou-Charentes,"1,302,000","1,286,341","1,606,297","1,017,425","661,808","5,873,871"
84,Auvergne-Rhône-Alpes,"1,929,529","1,906,838","2,092,310","1,179,076","707,256","7,815,009"
27,Bourgogne-Franche-Comté,"658,269","628,252","762,059","475,408","296,316","2,820,304"
53,Bretagne,"788,826","736,939","879,002","531,959","339,669","3,276,395"
24,Centre-Val de Loire,"617,134","568,765","695,932","424,440","269,925","2,576,196"
94,Corse,"66,201","76,540","90,929","56,201","33,650","323,521"
11,Île-de-France,"3,111,581","3,444,464","3,182,813","1,478,019","797,937","12,014,814"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,314,730","1,317,612","1,541,505","956,214","607,579","5,737,640"
32,Nord-Pas-de-Calais-Picardie,"1,583,406","1,502,618","1,592,743","842,576","475,449","5,996,792"
28,Normandie,"820,896","761,320","899,760","529,245","320,378","3,331,599"
52,Pays de la Loire,"940,583","859,508","973,707","562,659","351,944","3,688,401"
93,Provence-Alpes-Côte d'Azur,"1,140,132","1,135,230","1,335,606","837,988","522,666","4,971,622"
