Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,445,409","1,645,350","1,259,939","704,974","283,404","5,339,076"
75,Aquitaine-Limousin-Poitou-Charentes,"1,227,349","1,443,600","1,243,774","850,798","412,178","5,177,699"
84,Auvergne-Rhône-Alpes,"1,797,517","2,025,758","1,654,267","923,715","411,038","6,812,295"
27,Bourgogne-Franche-Comté,"711,720","773,582","649,239","401,172","187,234","2,722,947"
53,Bretagne,"742,880","808,414","655,170","439,668","184,451","2,830,583"
24,Centre-Val de Loire,"625,130","686,706","572,863","352,163","173,532","2,410,394"
94,Corse,"60,374","73,011","64,090","40,993","18,509","256,977"
11,Île-de-France,"2,878,368","3,586,068","2,695,464","1,143,409","529,914","10,833,223"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,103,923","1,329,734","1,117,951","762,854","361,990","4,676,452"
32,Nord-Pas-de-Calais-Picardie,"1,747,552","1,745,973","1,306,868","739,469","282,368","5,822,230"
28,Normandie,"892,413","935,656","733,312","427,916","181,805","3,171,102"
52,Pays de la Loire,"875,922","905,960","718,664","434,764","193,128","3,128,438"
93,Provence-Alpes-Côte d'Azur,"1,071,218","1,230,788","1,077,935","679,023","324,628","4,383,592"
