Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,515,254","1,653,032","1,186,252","605,532","313,994","5,274,064"
75,Aquitaine-Limousin-Poitou-Charentes,"1,293,507","1,448,178","1,172,499","751,521","448,582","5,114,287"
84,Auvergne-Rhône-Alpes,"1,854,569","2,010,578","1,555,076","804,250","443,695","6,668,168"
27,Bourgogne-Franche-Comté,"754,131","782,586","611,625","351,688","205,796","2,705,826"
53,Bretagne,"786,432","803,193","620,030","386,728","197,934","2,794,317"
24,Centre-Val de Loire,"654,608","688,176","531,798","307,733","187,493","2,369,808"
94,Corse,"60,657","73,225","59,943","36,852","18,968","249,645"
11,Île-de-France,"2,913,287","3,577,232","2,565,582","1,011,774","576,790","10,644,665"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,125,269","1,308,906","1,051,285","671,823","388,966","4,546,249"
32,Nord-Pas-de-Calais-Picardie,"1,830,240","1,752,576","1,224,909","643,000","319,946","5,770,671"
28,Normandie,"935,358","944,165","682,162","372,758","192,416","3,126,859"
52,Pays de la Loire,"919,006","893,314","662,949","373,534","206,394","3,055,197"
93,Provence-Alpes-Côte d'Azur,"1,077,329","1,218,017","1,016,479","607,975","337,444","4,257,244"
