Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,322,751","1,383,688","1,551,558","805,749","485,209","5,548,955"
75,Aquitaine-Limousin-Poitou-Charentes,"1,285,599","1,312,627","1,594,194","963,539","652,635","5,808,594"
84,Auvergne-Rhône-Alpes,"1,898,908","1,922,989","2,062,327","1,121,732","689,308","7,695,264"
27,Bourgogne-Franche-Comté,"658,268","647,566","766,511","453,444","291,025","2,816,814"
53,Bretagne,"781,997","750,060","870,083","505,850","329,107","3,237,097"
24,Centre-Val de Loire,"613,375","585,790","695,537","403,526","265,358","2,563,586"
94,Corse,"65,380","75,700","88,919","53,950","32,308","316,257"
11,Île-de-France,"3,081,236","3,479,822","3,146,380","1,412,777","778,287","11,898,502"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,290,710","1,322,838","1,519,919","901,787","591,604","5,626,858"
32,Nord-Pas-de-Calais-Picardie,"1,578,766","1,539,056","1,589,948","797,424","467,904","5,973,098"
28,Normandie,"821,239","786,227","902,119","499,388","313,783","3,322,756"
52,Pays de la Loire,"925,065","874,162","962,696","529,463","341,228","3,632,614"
93,Provence-Alpes-Côte d'Azur,"1,134,362","1,152,037","1,327,857","807,424","513,896","4,935,576"
