Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,341,231","1,430,010","1,563,540","739,130","457,207","5,531,118"
75,Aquitaine-Limousin-Poitou-Charentes,"1,272,521","1,335,503","1,588,912","887,081","624,480","5,708,497"
84,Auvergne-Rhône-Alpes,"1,867,925","1,928,258","2,035,746","1,033,670","652,405","7,518,004"
27,Bourgogne-Franche-Comté,"666,218","669,196","776,489","418,880","279,865","2,810,648"
53,Bretagne,"773,652","768,031","861,478","464,496","307,407","3,175,064"
24,Centre-Val de Loire,"609,882","606,762","698,131","371,274","252,541","2,538,590"
94,Corse,"62,752","74,505","87,688","50,353","30,376","305,674"
11,Île-de-France,"3,042,263","3,503,403","3,130,128","1,306,358","746,088","11,728,240"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,264,386","1,324,553","1,496,031","826,982","561,645","5,473,597"
32,Nord-Pas-de-Calais-Picardie,"1,592,144","1,579,928","1,601,991","725,184","445,107","5,944,354"
28,Normandie,"832,217","810,067","908,260","456,014","297,264","3,303,822"
52,Pays de la Loire,"903,090","886,448","948,268","481,445","319,797","3,539,048"
93,Provence-Alpes-Côte d'Azur,"1,140,559","1,165,788","1,327,952","759,360","495,394","4,889,053"
