Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,354,776","1,450,845","1,562,624","702,098","436,273","5,506,616"
75,Aquitaine-Limousin-Poitou-Charentes,"1,259,143","1,346,180","1,590,419","834,140","597,789","5,627,671"
84,Auvergne-Rhône-Alpes,"1,846,991","1,932,733","2,028,050","975,180","622,252","7,405,206"
27,Bourgogne-Franche-Comté,"666,993","679,569","782,879","395,246","267,875","2,792,562"
53,Bretagne,"762,853","771,058","856,770","436,130","293,477","3,120,288"
24,Centre-Val de Loire,"611,847","618,194","703,135","351,462","242,281","2,526,919"
94,Corse,"63,309","73,146","85,869","47,670","29,215","299,209"
11,Île-de-France,"3,021,977","3,503,295","3,138,930","1,224,134","710,530","11,598,866"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,245,785","1,324,531","1,485,169","779,977","535,655","5,371,117"
32,Nord-Pas-de-Calais-Picardie,"1,603,873","1,588,382","1,613,782","683,285","432,708","5,922,030"
28,Normandie,"834,727","820,583","911,499","428,892","282,444","3,278,145"
52,Pays de la Loire,"893,614","889,396","947,154","450,088","302,342","3,482,594"
93,Provence-Alpes-Côte d'Azur,"1,149,206","1,183,525","1,332,266","725,547","473,471","4,864,015"
