Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,462,133","1,648,441","1,238,593","682,833","291,379","5,323,379"
75,Aquitaine-Limousin-Poitou-Charentes,"1,245,374","1,445,653","1,225,523","831,329","419,220","5,167,099"
84,Auvergne-Rhône-Alpes,"1,816,850","2,025,186","1,631,347","899,697","417,812","6,790,892"
27,Bourgogne-Franche-Comté,"722,432","775,703","639,534","391,235","191,112","2,720,016"
53,Bretagne,"753,648","807,694","645,476","429,429","186,475","2,822,722"
24,Centre-Val de Loire,"633,489","687,166","563,195","343,178","176,459","2,403,487"
94,Corse,"60,148","72,430","62,617","39,787","18,613","253,595"
11,Île-de-France,"2,890,356","3,582,401","2,664,352","1,117,652","538,653","10,793,414"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,109,807","1,328,246","1,100,862","745,285","367,199","4,651,399"
32,Nord-Pas-de-Calais-Picardie,"1,770,657","1,745,911","1,284,185","721,380","290,572","5,812,705"
28,Normandie,"904,242","938,137","719,769","417,341","183,305","3,162,794"
52,Pays de la Loire,"887,530","902,299","704,198","421,558","195,199","3,110,784"
93,Provence-Alpes-Côte d'Azur,"1,073,807","1,229,320","1,062,539","664,281","326,928","4,356,875"
